home_team,away_team,home_score,away_score
Man United,Man City,2,0
Sunderland,Crystal Palace,2,1
Chelsea,Brentford,2,0
Liverpool,Burnley,1,1
Tottenham,West Ham,1,2
Leeds United,Fulham,1,0
Nottm Forest,Arsenal,0,0
Wolves,Newcastle,0,0
Aston Villa,Everton,0,1
Brighton, Bournemouth,1,1
