home_team,away_team,home_score,away_score
Spurs,Man United,2,2
Everton,Fulham,2,0
West Ham, Burnley,3,2
Sunderland, Arsenal,2,2
Chelsea,Wolves,3,0
Palace, Brighton,0,0
Villa, Bournemouth,4,0
Brentford,Newcastle,3,1
Forest, Leeds,3,1
Man City,Liverpool,3,0
