home_team,away_team,home_score,away_score
Palace,Brentford,2,0
Nottingham Forest,Man United,2,2
Burnley, Arsenal,0,2
Brighton, Leeds,3,0
Fulham,Wolves,3,0
Spurs, Chelsea,0,1
Liverpool, Aston Villa,2,0
West Ham,Newcastle,3,1
Man City, Bournemouth,3,1
Sunderland,Everton,1,1
