home_team,away_team,home_score,away_score
Man United, Newcastle,1,0
Nottingham Forest, Man City,1,2
West Ham, Fulham,0,1
Brentford, Bournemouth,4,1
Liverpool, Wolves,2,1
Arsenal, Brighton,2,1
Burnley, Everton,0,0
Chelsea, Aston Villa,1,2
Sunderland, Leeds,1,1
Palace, Spurs,0,1
