home_team,away_team,home_score,away_score
West Ham,Forest,1,2
Palace,Villa,0,0
Fulham,Chelsea,2,1
Brentford,Sunderland,3,0
Bournemouth,Spurs,3,2
Man City,Brighton,1,1
Everton,Wolves,1,1
Burnley,Man United,2,2
Newcastle,Leeds United,4,3
Arsenal,Liverpool,0,0
