home_team,away_team,home_score,away_score
Wolves,Aston Villa,2,0
Bournmouth,Sunderland,1,1
Burnley,Brentford,3,4
Liverpool,West Ham,5,2
Newcastle,Everton,2,3
Leeds,Man City,0,1
Brighton,Nottm Forest,2,1
Fulham,Spurs,2,1
Man United,Crystal Place,2,1
Arsenal,Chelsea,2,1
