home_team,away_team,home_score,away_score
Forest,Chelsea ,3,0
Sunderland,Wolves,2,0
Burnley, Leeds,2,0
Palace, Bournemouth,3,3
Brighton,Newcastle,2,1
Man City, Everton,2,0
Fulham, Arsenal,0,1
Tottenham,Aston Villa,1,2
Liverpool, Man United,1,2
West Ham,Brentford,0,2
