home_team,away_team,home_score,away_score
Burnley,Chelsea,0,2
Liverpool,Forest,0,3
Bournemouth, West Ham,2,2
Wolves, Palace,0,2
Brighton,Brentford,2,1
Fulham, Sunderland,1,0
Newcastle, Man City,2,1
Leeds,Villa,1,2
Arsenal, Spurs,4,1
Man United,Everton,0,1
