home_team,away_team,home_score,away_score
Arsenal,Nottingham Forest,3,0
Bournemouth,Brighton,2,1
Newcastle, Wolves,1,0
Everton,Aston Villa,0,0
Crystal Palace,Sunderland,0,0
Fulham,Leeds United,1,0
West Ham, Tottenham,0,3
Brentford,Chelsea,2,2
Burnley,Liverpool,0,1
Manchester City,Manchester United,3,0
