home_team,away_team,home_score,away_score
Bournemouth,Leeds,2,2
Burnley,Man City,0,1
Sunderland,Forest,0,5
Fulham,Villa,1,0
Liverpool,Palace,3,1
Wolves,Spurs,0,1
West Ham,Everton,2,1
Arsenal,Newcastle,1,0
Man United,Brentford,2,0
