home_team,away_team,home_score,away_score
Leeds,Forest,3,1
Man United,Spurs,2,0
Arsenal,Sunderland,3,0
Bournemouth,Villa,1,1
Burnley,West Ham,0,2
Fulham,Everton,1,2
Wolves,Chelsea,1,3
Newcastle,Brentford,2,3
Brighton,Palace,0,1
Liverpool, Man City,1,2
