home_team,away_team,home_score,away_score
Bournemouth,Fulham ,3,1
Leeds,Spurs,1,2
Man United, Sunderland,2,0
Arsenal,West Ham,2,0
Chelsea,Liverpool,2,1
Rverton,Crystal Palace,2,1
Wolves, Brighton,2,1
Newcastle,Nottingham Forest,2,0
Aston Villa,Burnley,2,1
Brentford,Manchester City,0,1
