home_team,away_team,home_score,away_score
Leeds,Burnley,3,1
Brentford,West Ham,3,0
Wolves,Sunderland,1,1
Newcastle,Brighton,3,1
Arsenal,Fulham,3,0
Bournemouth,Palace,3,0
Man United,Liverpool,3,2
Aston Villa,Spurs,1,2
Chelsea,Nottingham Forest,1,3
