home_team,away_team,home_score,away_score
West Ham,Chelsea,1,5
Man City,Tottenham,0,2
Bournemouth, Wolves,1,0
Burnley,Sunderland,2,0
Brentford,Aston Villa,1,0
Arsenal,Leeds United,5,0
Crystal Palace,Nottingham Forest,1,1
Everton,Brighton,2,0
Fulham,Man United,1,1
Newcastle,Liverpool,2,3
