home_team,away_team,home_score,away_score
Brentford,Manchester United,3,1
Chelsea,Brighton,1,3
Crystal Palace, Liverpool,2,1
Leeds,Bournemouth,2,2
Manchester City,Burnley,5,1
Nottingham Forest,Sunderland,0,1
Spurs, Wolves,1,1
Aston Villa,Fulham,3,1
Newcastle,Arsenal,1,2
Everton,West Ham,1,1
