home_team,away_team,home_score,away_score
West Ham,Wolves,4,0
Arsenal,Bournemouth,1,2
Brentford,Everton,2,2
Burnley,Brighton,0,2
Liverpool,Fulham,2,0
Crystal Palace,Newcastle,2,1
Sunderland,Spurs,1,0
Forest,Aston Villa,1,1
Chelsea,Man City,0,3
Man United,Leeds,1,2
