home_team,away_team,home_score,away_score
Tottenham,Newcastle,1,2
Chelsea,Leeds United,2,2
Everton,Bournemouth,1,2
West Ham,Man United,1,1
Nottm Forest,Wolves,0,0
Aston Villa,Brighton,1,0
Crystal Palace,Burnley,2,3
Man City,Fulham,3,0
Sunderland,Liverpool,0,1
