home_team,away_team,home_score,away_score
Brentford,Fulham,0,0
Leeds,Wolves,3,0
Newcastle,Bournemouth,1,2
Spurs,Brighton,2,2
Chelsea,Man United,0,1
Nottingham Forest,Burnley,4,1
Aston Villa,Sunderland,4,3
Everton,Liverpool,1,2
Man City,Arsenal,2,1
