home_team,away_team,home_score,away_score
Chelsea,Fulham,2,0
Wolves,Everton,2,3
Tottenham, Bournemouth,0,1
Man United,Burnley,3,2
Sunderland,Brentford,2,1
Leeds United,Newcastle,0,0
Brighton,Man City,2,1
Nottingham Forest,West Ham,0,3
Liverpool,Arsenal,1,0
Aston Villa,Crystal Palace,0,3
