home_team,away_team,home_score,away_score
Bournmouth,Bretford,0,0
Everton,Burnley,2,0
Leeds,Sunderland,0,1
Wolves,Liverpool,2,1
Aston Villa,Chelsea,1,4
Brighton,Arsenal,0,1
Fulham,West Ham,0,1
Man City,Nottm Forest,2,2
Newcastle,Man Utd,2,1
spurs, C Palace,1,3
