home_team,away_team,home_score,away_score
Villa,Forest,3,1
Brighton,Burnley,2,0
Wolves,West Ham,3,0
Bournemouth,Arsenal,2,3
Leeds,Man United,1,1
Fulham,Liverpool,2,2
Spurs,Sunderland,1,1
Everton,Brentford,2,4
Newcastle,Crystal Palace,2,0
Man City,Chelsea,1,1
