home_team,away_team,home_score,away_score
Fulham, Man City,4,5
Bournemouth, Everton,0,1
Newcastle, Spurs,2,2
Brighton, Aston Villa,3,4
Burnley, Crystal Palace,0,1
Wolves, Nottingham Forest,0,1
Arsenal, Brentford,2,0
Leeds United, Chelsea,3,1
Liverpool, Sunderland,1,1
Man United, West Ham,1,1
