home_team,away_team,home_score,away_score
West Ham,Sunderland,3,1
Fulham,Brighton,2,1
Burnley,Tottenham,2,2
Man City,Wolves,2,0
Bournemouth,Liverpool,3,2
Crystal Palace,Chelsea,1,3
Newcastle,Aston Villa,0,2
Brentford,Nottingham Forest,0,2
Arsenal, Man United,2,3
Everton, Leeds,1,1
