home_team,away_team,home_score,away_score
Burnley,Bournemouth,0,0
Sunderland,Brighton,0,1
Chelsea,Newcastle,0,1
Arsenal,Everton,2,0
West Ham,Man City,1,1
Palace,Leeds,0,0
Man United,Aston Villa,3,1
Forest,Fulham,0,0
Liverpool,Spurs,1,1
Brentford,Wolves,2,2
