home_team,away_team,home_score,away_score
Leeds,Arsenal,0,4
Brighton,Everton,1,1
Wolves,Bournemouth,0,2
Chelsea,West Ham,3,2
Liverpool,Newcastle,4,1
Man United, Fulham,3,2
Villa, Brentford,0,1
Forest ,Palace,1,1
Spurs, Man City,2,2
Sunderland, Burnley,3,0
