home_team,away_team,home_score,away_score
Leeds,West Ham ,2,1
Chelsea,Sunderland,1,2
newcastle, fulham,2,1
man united, brighton,4,2
brentford,liverpool,3,2
Aston Villa, Man City,1,0
Arsenal, Palace,1,0
Bournemouth,Forest,2,0
Wolves, Burnley,2,3
Everton,Spurs,0,3
