home_team,away_team,home_score,away_score
sunderland, bournemouth,3,2
manchester city, leeds,3,2
brentford, burnley,3,1
everton, newcastle,1,4
spurs, fulham,1,2
palace, man united,1,2
west ham, liverpool,0,2
forest, brighton,0,2
villa, wolves,1,0
chelsea, arsenal,1,1
