home_team,away_team,home_score,away_score
Liverpool,Chelsea,1,1
Sunderland,Man United,0,0
Brighton,Wolves,3,0
Fulham,Bournemouth,0,1
Man City,Brentford,3,0
Forest,Newcastle,1,1
Burnley,Villa,2,2
Palace,Everton,2,2
West Ham,Arsenal,0,1
Spurs,Leeds,1,1
Man City,Palace,3,0
