home_team,away_team,home_score,away_score
Burnley, Newcastle,1,3
Chelsea, Bournemouth,2,2
Forest, Everton,0,2
West Ham, Brighton,2,2
Arsenal, Aston Villa,4,1
Man United, Wolves,1,1
Palace, Fulham,1,1
Liverpool, Leeds,0,0
Sunderland, Man City,0,0
Brentford, Spurs,0,0
