home_team,away_team,home_score,away_score
Villa, Arsenal,2,1
Everton, Forest,3,0
Newcastle, Burnley,2,1
Man City, Sunderland,3,0
Spurs, Brentford,2,0
Bournemouth, Chelsea,0,0
Leeds, Liverpool,3,3
Brighton, West Ham,1,1
Fulham, Crystal Palace,1,2
Wolves, Man United,1,4
