home_team,away_team,home_score,away_score
Liverpool,Everton,2,1
Burnley,Nottingham,1,1
West Ham, Crystal Palace,1,2
Brighton,Tottenham,2,2
Wolverhampton,Leeds,1,3
Manchester United,Chelsea,2,1
Fulham, Brentford,3,1
Sunderland,Aston Villa,1,1
Bournemouth,Newcastle,0,0
Arsenal,Manchester City,1,1
