home_team,away_team,home_score,away_score
Chelsea, Everton,2,0
Liverpool, Brighton,2,0
Burnley, Fulham,2,3
Arsenal, Wolves,2,1
Palace, Man City,0,3
Sunderland, Newcastle,1,0
Forest, Spurs,3,0
West Ham, Aston Villa,2,3
Brentford, Leeds,1,1
Man United, Bournemouth,4,4
